Constructor Name,Fantasy Points,Driver 1 Qualifying Position,Driver 2 Qualifying Position,Driver 1 Race Finish,Driver 2 Race Finish
Mercedes,66,1,3,1,3
Red Bull,59,2,8,2,5
McLaren,30,7,9,6,8
Ferrari,36,4,6,4,7
Aston Martin,6,11,13,11,13
Alpine,-1,5,10,9,17
AlphaTauri,9,12,16,10,DNF
Alfa Romeo,14,14,17,12,15
Williams,13,15,19,14,16
Haas,6,18,20,18,19
