Constructor Name,Fantasy Points,Driver 1 Qualifying Position,Driver 2 Qualifying Position,Driver 1 Race Finish,Driver 2 Race Finish
Mercedes,58,2,3,2,3
Red Bull,55,1,16,1,8
McLaren,13,10,13,10,11
Ferrari,33,5,6,5,7
Aston Martin,9,12,17,12,13
Alpine,27,8,9,6,9
AlphaTauri,25,4,15,4,DNF
Alfa Romeo,2,7,18,14,15
Williams,9,11,14,16,DNF
Haas,2,19,20,18,DNF
