Constructor Name,Fantasy Points,Driver 1 Qualifying Position,Driver 2 Qualifying Position,Driver 1 Race Finish,Driver 2 Race Finish
Mercedes,65,1,2,1,3
Red Bull,55,3,4,2,4
McLaren,36,7,16,5,9
Ferrari,19,5,8,6,11
Aston Martin,7,10,17,13,14
Alpine,30,6,13,7,8
AlphaTauri,7,9,14,10,15
Alfa Romeo,5,12,15,12,DNF
Williams,0,11,18,16,18
Haas,10,19,20,17,19
