Constructor Name,Fantasy Points,Driver 1 Qualifying Position,Driver 2 Qualifying Position,Driver 1 Race Finish,Driver 2 Race Finish
Mercedes,53,2,3,2,4
Red Bull,72,1,4,1,3
McLaren,44,8,10,5,6
Ferrari,-2,5,7,11,16
Aston Martin,23,12,NC,9,10
Alpine,12,9,11,8,14
AlphaTauri,24,6,NC,7,13
Alfa Romeo,3,13,17,15,17
Williams,7,14,16,12,18
Haas,-1,15,18,19,20
