Constructor Name,Fantasy Points,Driver 1 Qualifying Position,Driver 2 Qualifying Position,Driver 1 Race Finish,Driver 2 Race Finish
Mercedes,75,4,7,1,5
Red Bull,36,9,20,2,9
McLaren,34,1,5,4,7
Ferrari,37,2,15,3,15
Aston Martin,-2,8,11,11,12
Alpine,12,6,10,6,14
AlphaTauri,-1,12,13,13,17
Alfa Romeo,20,16,18,8,16
Williams,3,3,14,10,DNF
Haas,0,17,19,18,DNF
