Constructor Name,Fantasy Points,Driver 1 Qualifying Position,Driver 2 Qualifying Position,Driver 1 Race Finish,Driver 2 Race Finish
Mercedes,67,2,3,1,3
Red Bull,53,1,11,2,5
McLaren,39,6,7,4,7
Ferrari,26,4,8,6,8
Aston Martin,18,10,18,10,15
Alpine,13,9,16,13,DNF
AlphaTauri,13,5,13,9,DNF
Alfa Romeo,12,12,14,11,12
Williams,6,15,17,14,DNF
Haas,7,19,20,16,DNF
