Constructor Name,Fantasy Points,Driver 1 Qualifying Position,Driver 2 Qualifying Position,Driver 1 Race Finish,Driver 2 Race Finish
Mercedes,9,2,10,12,15
Red Bull,45,3,7,1,DNF
McLaren,40,6,13,5,9
Ferrari,28,1,5,4,8
Aston Martin,31,11,NC,2,DNF
Alpine,20,9,12,6,DNF
AlphaTauri,41,4,8,3,7
Alfa Romeo,23,14,NC,10,11
Williams,3,15,16,16,DNF
Haas,20,17,18,13,14
