Constructor Name,Fantasy Points,Driver 1 Qualifying Position,Driver 2 Qualifying Position,Driver 1 Race Finish,Driver 2 Race Finish
Mercedes,36,1,8,2,DNF
Red Bull,44,2,3,1,11
McLaren,48,6,7,3,6
Ferrari,46,4,11,4,5
Aston Martin,14,10,13,8,DNF
Alpine,22,9,15,9,10
AlphaTauri,23,5,20,7,12
Alfa Romeo,16,16,17,13,14
Williams,4,12,14,DNF,DNF
Haas,12,18,19,16,17
