Constructor Name,Fantasy Points,Driver 1 Qualifying Position,Driver 2 Qualifying Position,Driver 1 Race Finish,Driver 2 Race Finish
Mercedes,66,2,4,2,6
Red Bull,76,1,3,1,3
McLaren,29,7,8,5,8
Ferrari,33,5,6,4,7
Aston Martin,18,12,16,10,12
Alpine,4,11,14,DNF,DNF
AlphaTauri,14,9,10,9,DNF
Alfa Romeo,11,13,18,11,13
Williams,14,15,17,14,15
Haas,4,19,20,16,17
