Constructor Name,Fantasy Points,Driver 1 Qualifying Position,Driver 2 Qualifying Position,Driver 1 Race Finish,Driver 2 Race Finish
Mercedes,72,1,2,1,5
Red Bull,59,3,7,2,3
McLaren,25,8,16,7,13
Ferrari,38,4,15,4,8
Aston Martin,-1,9,11,9,18
Alpine,7,6,12,10,16
AlphaTauri,9,5,10,6,14
Alfa Romeo,24,18,19,11,12
Williams,1,13,17,15,17
Haas,-2,14,20,19,20
