Constructor Name,Fantasy Points,Driver 1 Qualifying Position,Driver 2 Qualifying Position,Driver 1 Race Finish,Driver 2 Race Finish
Mercedes,72,4,5,2,4
Red Bull,63,1,3,1,6
McLaren,45,2,13,3,7
Ferrari,38,11,12,5,8
Aston Martin,-1,8,10,13,DNF
Alpine,13,14,17,10,DNF
AlphaTauri,3,6,7,9,12
Alfa Romeo,7,15,16,14,15
Williams,8,9,18,11,16
Haas,8,19,20,18,19
