Constructor Name,Fantasy Points,Driver 1 Qualifying Position,Driver 2 Qualifying Position,Driver 1 Race Finish,Driver 2 Race Finish
Mercedes,42,1,2,2,DNF
Red Bull,14,3,4,9,DNF
McLaren,11,6,11,11,DNF
Ferrari,35,7,15,3,DNF
Aston Martin,6,10,12,DSQ,DNF
Alpine,70,8,9,1,4
AlphaTauri,40,5,16,5,6
Alfa Romeo,15,13,14,10,13
Williams,34,17,18,7,8
Haas,12,19,NC,12,DNF
