Constructor Name,Fantasy Points,Driver 1 Qualifying Position,Driver 2 Qualifying Position,Driver 1 Race Finish,Driver 2 Race Finish
Mercedes,25,3,7,7,DNF
Red Bull,78,2,9,1,4
McLaren,32,5,12,3,12
Ferrari,51,1,4,2,DNS
Aston Martin,40,8,13,5,8
Alpine,19,11,17,9,13
AlphaTauri,19,6,16,6,16
Alfa Romeo,15,10,14,10,11
Williams,13,15,18,14,15
Haas,11,19,20,17,18
