Constructor Name,Fantasy Points,Driver 1 Qualifying Position,Driver 2 Qualifying Position,Driver 1 Race Finish,Driver 2 Race Finish
Mercedes,41,3,8,3,12
Red Bull,37,1,7,1,19
McLaren,30,4,10,4,14
Ferrari,15,11,13,8,10
Aston Martin,22,5,15,5,20
Alpine,19,9,14,7,11
AlphaTauri,21,6,17,6,15
Alfa Romeo,10,16,19,13,18
Williams,38,2,12,2,9
Haas,8,18,20,16,17
